variable,description
mcaseid,Case Identification
mv000,Country code and phase
mv001,Cluster number
mv002,Household number
mv003,Respondent's line number
mv004,Ultimate area unit
mv005,Men's sample weight (6 decimals)
mv006,Month of interview
mv007,Year of interview
mv008,Date of interview (CMC)
mv009,Month of birth
mv010,Year of birth
mv011,Date of birth (CMC)
mv012,Current age
mv013,Age in 5-year groups
mv014,Completeness of age information
mv015,Result of interview
mv016,Day of interview
mv021,Primary sampling unit
mv022,Sample stratum number
mv023,Sample domain
mv024,Province
mv025,Type of place of residence
mv026,De facto place of residence
mv027,Number of visits
mv028,Interviewer identification
mv029,Keyer identification
mv030,Field supervisor
mv031,Field editor
mv032,Office editor
mv034_1,Line number of wife/partner
mv034_2,Line number of wife/partner
mv034_3,Line number of wife/partner
mv034_4,Line number of wife/partner
mv034_5,Line number of wife/partner
mv034_6,Line number of wife/partner
mv034_7,Line number of wife/partner
mv034_8,Line number of wife/partner
mv034a_1,NA - Wife or partner***
mv034a_2,NA - Wife or partner***
mv034a_3,NA - Wife or partner***
mv034a_4,NA - Wife or partner***
mv034a_5,NA - Wife or partner***
mv034a_6,NA - Wife or partner***
mv034a_7,NA - Wife or partner***
mv034a_8,NA - Wife or partner***
mv034b_1,Age of wife/partner
mv034b_2,Age of wife/partner
mv034b_3,Age of wife/partner
mv034b_4,Age of wife/partner
mv034b_5,Age of wife/partner
mv034b_6,Age of wife/partner
mv034b_7,Age of wife/partner
mv034b_8,Age of wife/partner
mv035,Number of wives/partners
mv801,Time interview started (hhmm - 24 hour clock)
mv802,Time interview ended (hhmm - 24 hour clock)
mv803,Length of interview in minutes
mv101,Province
mv102,Type of place of residence
mv103,NA - Childhood place of residence***
mv104,NA - Years lived in place of residence
mv105,NA - Type of place of previous residence
mv106,Educational level
mv107,Highest year of education (at level in MV106)
mv130,Religion
mv131,Ethnicity
mv133,Total number of years of education
mv134,De facto place of residence
mv135,Usual resident or visitor
mv136,Number of household members (total listed)
mv138,Number of eligible men in household (de facto)
mv149,Educational attainment
mv150,Relationship to household head
mv151,Sex of household head
mv152,Age of household head
mv155,Literacy
mv156,NA - Ever participated in a literacy program (excluding primary school)
mv157,Frequency of reading newspaper or magazine
mv158,Frequency of listening to radio
mv159,Frequency of watching television
mv167,Times away from home in last 12 months
mv168,Away for more than one month in last 12 months
mv190,Wealth index
mv191,Wealth index factor score (5 decimals)
mv201,Total children ever born
mv202,Sons at home
mv203,Daughters at home
mv204,Sons elsewhere
mv205,Daughters elsewhere
mv206,Sons who have died
mv207,Daughters who have died
mv212,Age of respondent at 1st birth
mv213,Partner currently pregnant
mv217,Knowledge of ovulatory cycle
mv218,Number of living children
mv225,NA - Most recent pregnancy wanted***
mv245,Number of women fathered children with
mv246,NA - Married to mother when first child was born***
mv247,Age of most recent child
mv248,Antenatal check-ups for the mother of most recent child
mv249,Respondent present during check-ups for most recent child
mv250,Place of birth of most recent child
mv251,NA - Reason for not delivering most recent child in health facility
mv252,"Amount a child should drink, when that child has diarrhea"
mv301,Knowledge of any contraceptive method
mv302,NA - Ever use of any contraceptive method
m304a_01,Type of contraceptive method
m304a_02,Type of contraceptive method
m304a_03,Type of contraceptive method
m304a_04,Type of contraceptive method
m304a_05,Type of contraceptive method
m304a_06,Type of contraceptive method
m304a_07,Type of contraceptive method
m304a_08,Type of contraceptive method
m304a_09,Type of contraceptive method
m304a_10,Type of contraceptive method
m304a_11,Type of contraceptive method
m304a_12,Type of contraceptive method
m304a_13,Type of contraceptive method
m304a_14,Type of contraceptive method
m304a_15,Type of contraceptive method
m304a_16,Type of contraceptive method
m304a_17,Type of contraceptive method
m304a_18,Type of contraceptive method
m304a_19,Type of contraceptive method
m304a_20,Type of contraceptive method
mv304_01,Knows contraceptive method
mv304_02,Knows contraceptive method
mv304_03,Knows contraceptive method
mv304_04,Knows contraceptive method
mv304_05,Knows contraceptive method
mv304_06,Knows contraceptive method
mv304_07,Knows contraceptive method
mv304_08,Knows contraceptive method
mv304_09,Knows contraceptive method
mv304_10,Knows contraceptive method
mv304_11,Knows contraceptive method
mv304_12,Knows contraceptive method
mv304_13,Knows contraceptive method
mv304_14,Knows contraceptive method
mv304_15,Knows contraceptive method
mv304_16,Knows contraceptive method
mv304_17,Knows contraceptive method
mv304_18,Knows contraceptive method
mv304_19,Knows contraceptive method
mv304_20,Knows contraceptive method
mv305_01,NA - Ever used contraceptive method
mv305_02,NA - Ever used contraceptive method
mv305_03,NA - Ever used contraceptive method
mv305_04,NA - Ever used contraceptive method
mv305_05,NA - Ever used contraceptive method
mv305_06,NA - Ever used contraceptive method
mv305_07,NA - Ever used contraceptive method
mv305_08,NA - Ever used contraceptive method
mv305_09,NA - Ever used contraceptive method
mv305_10,NA - Ever used contraceptive method
mv305_11,NA - Ever used contraceptive method
mv305_12,NA - Ever used contraceptive method
mv305_13,NA - Ever used contraceptive method
mv305_14,NA - Ever used contraceptive method
mv305_15,NA - Ever used contraceptive method
mv305_16,NA - Ever used contraceptive method
mv305_17,NA - Ever used contraceptive method
mv305_18,NA - Ever used contraceptive method
mv305_19,NA - Ever used contraceptive method
mv305_20,NA - Ever used contraceptive method
mv307_01,Contraceptive method currently used
mv307_02,Contraceptive method currently used
mv307_03,Contraceptive method currently used
mv307_04,Contraceptive method currently used
mv307_05,Contraceptive method currently used
mv307_06,Contraceptive method currently used
mv307_07,Contraceptive method currently used
mv307_08,Contraceptive method currently used
mv307_09,Contraceptive method currently used
mv307_10,Contraceptive method currently used
mv307_11,Contraceptive method currently used
mv307_12,Contraceptive method currently used
mv307_13,Contraceptive method currently used
mv307_14,Contraceptive method currently used
mv307_15,Contraceptive method currently used
mv307_16,Contraceptive method currently used
mv307_17,Contraceptive method currently used
mv307_18,Contraceptive method currently used
mv307_19,Contraceptive method currently used
mv307_20,Contraceptive method currently used
mv312,Current contraceptive method
mv313,Current contraceptive by method type
mv323a,Brand of condom used
mv325b,NA - Cost of condoms (in CURRENCY) last time obtained
mv372a,NA - Interviewer shown condom package
mv384a,On radio heard about Family Planning in the last few months
mv384b,On TV saw about Family Planning in the last few months
mv384c,In newspaper read about Family Planning in the last few months
mv395,Discussed Family Planning with health worker in last few months
mv396,NA - Possible for a breastfeeding woman to get pregnant
mv3a09b,NA - Number of condoms did get last time
mv3b17,Source of condoms
mv3b25a,"Contraception is woman's business, man should not worry"
mv3b25b,Women who use contraception become promiscuous
mv463a,Smokes cigarettes
mv463b,Smokes pipe
mv463c,Uses chewing tobacco
mv463d,Uses snuff
mv463e,Smokes cigars/natural tobacco wrapped by hand
mv463f,NA - Smokes CS
mv463g,NA - Smokes CS
mv463x,Smokes other
mv463z,Smokes nothing
mv464,Number of cigarettes in last 24 hours
mv474,NA - Heard of tuberculosis or TB
mv474a,NA - Tuberculosis spread by: air through coughing or sneezing
mv474b,NA - Tuberculosis spread by: sharing utensils
mv474c,NA - Tuberculosis spread by: touching a person with TB
mv474d,NA - Tuberculosis spread by: food
mv474e,NA - Tuberculosis spread by: sexual contact
mv474f,NA - Tuberculosis spread by: mosquito bites
mv474g,NA - Tuberculosis spread by: CS
mv474h,NA - Tuberculosis spread by: CS
mv474i,NA - Tuberculosis spread by: CS
mv474j,NA - Tuberculosis spread by: CS
mv474x,NA - Tuberculosis spread by: other
mv474z,NA - Don't know how tuberculosis is spread
mv475,NA - Tuberculosis can be cured
mv476,NA - Would want tuberculosis infection in family to remain secret
mv477,Number of injections in last 12 months
mv478,Number of injections administered by a health worker
mv479,NA - Place where given injection by health worker
mv480,"Syringe and needle from new, unopened package"
mv481,Covered by health insurance
mv481a,Health insurance type: mutual/community organization
mv481b,Health insurance type: provided by employer
mv481c,Health insurance type: social security
mv481d,Health insurance type: private/commercially purchased
mv481e,NA - Health insurance type: CS
mv481f,NA - Health insurance type: CS
mv481g,NA - Health insurance type: CS
mv481h,NA - Health insurance type: CS
mv481x,Health insurance type: other
mv482a,NA - Arrange care of biological children under age 18***
mv482b,NA - Primary caregiver of children under age 18***
mv482c,NA - Arrange care of non-biological children < 18***
mv483,NA - Respondent circumcised
mv483a,NA - Age at circumcision
mv483b,NA - Who performed the circumcision
mv483c,NA - Place where circumcision was done
mv501,Current marital status
mv502,Currently/formerly/never in union
mv503,Number of unions
mv504,Currently residing with wife/partner
mv505,Number of wives/partners
mv507,Month of first cohabitation
mv508,Year of first cohabitation
mv509,Date of first cohabitation (CMC)
mv510,Completeness of date information in MV509
mv511,Age at first cohabitation
mv512,Years since first cohabitation
mv513,Cohabitation duration (grouped)
mv525,Age at first sex
mv527,Time since last sex
mv528,Time since last sex (in days)
mv529,Time since last sex (in months)
mv531,Age at first sex (imputed)
mv532,Flag for MV531
mv535,Ever been married or in union
mv536,Recent sexual activity
mv541,NA - Intends to wait until marriage to have sex
mv602,Fertility preference
mv603,Preferred waiting time for birth of a/another child
mv604,Preferred waiting time for birth of a/another child (grouped)
mv605,Desire for more children
mv613,Ideal number of children
mv614,Ideal number of children (grouped)
mv616,Desired time for future birth
mv621,NA - Wife's desire for children***
mv627,Ideal number of boys
mv628,Ideal number of girls
mv629,Ideal number of either sex
mv631,NA - Problem if wife became pregnant***
mv633a,NA - Wife justified refusing sex: husband has STI
mv633b,Wife justified refusing sex: husband has other women
mv633c,NA - Wife justified refusing sex: recent birth
mv633d,"NA - Wife justified refusing sex: tired, not in mood"
mv633e,NA - Wife justified refusing sex: CS reason
mv633f,NA - Wife justified refusing sex: CS reason
mv633g,NA - Wife justified refusing sex: CS reason
mv634a,"NA - Wife refuses to have sex, husband has right to: get angry"
mv634b,"NA - Wife refuses to have sex, husband has right to: refuse financial support"
mv634c,"NA - Wife refuses to have sex, husband has right to: use force for sex"
mv634d,"NA - Wife refuses to have sex, husband has right to: have sex with another women"
mv714,Currently working
mv714a,"Have a job, but currently absent"
mv716,Occupation
mv717,Occupation (grouped)
mv719,"NA - Works for family, others, self"
mv721,NA - Works at home or away
mv731,Worked in last 12 months
mv732,Employment all year/seasonal
mv739,Person who usually decides how to spend respondent's earnings
mv740,NA - Type of land where respondent works
mv741,Type of earnings from respondent's work
mv743a,Person who should have greater say: respondent's health care
mv743b,Person who should have greater say: large household purchases
mv743c,NA - Person who should have greater say: daily household purchases
mv743d,NA - Person who should have greater say: visits to family or relatives
mv743e,NA - Person who should have greater say: food to be cooked each day
mv743f,NA - Person who should have greater say: deciding what to do with money wife earns
mv743g,NA - Person who should have greater say: deciding how many children to have
mv744a,Beating justified: wife goes out without telling husband
mv744b,Beating justified: wife neglects the children
mv744c,Beating justified: wife argues with husband
mv744d,Beating justified: wife refuses to have sex with husband
mv744e,Beating justified: wife burns food
mv745a,Owns a house alone or jointly
mv745b,Owns land alone or jointly
mv747a,NA - Childbearing is a woman's concern
mv747b,NA - Important for mother/child health to get assistance at delivery
mv750,Ever heard of a Sexually Transmitted Infection (STI)
mv751,Ever heard of AIDS
mv754bp,NA - Reduce risk of getting HIV: do not have sex at all
mv754cp,Reduce risk of getting HIV: always use condoms during sex
mv754dp,"Reduce risk of getting HIV: have 1 sex partner only, who has no other partners"
mv754jp,Can get HIV from mosquito bites
mv754wp,Can get HIV by sharing food with person who has AIDS
mv756,A healthy looking person can have HIV
mv761,Condom used during last sex with most recent partner
mv761b,Condom used during last sex with 2nd to most recent partner
mv761c,Condom used during last sex with 3rd to most recent partner
mv762aa,Source for condoms: government hospital
mv762ab,Source for condoms: government health cente
mv762ac,Source for condoms: government health post
mv762ad,Source for condoms: FP clinic
mv762ae,Source for condoms: community relay
mv762af,Source for condoms: other public
mv762ag,NA - Source for condoms: CS public
mv762ah,NA - Source for condoms: CS public
mv762ai,NA - Source for condoms: CS public
mv762aj,Source for condoms: private hospital/clinic
mv762ak,Source for condoms: pharmacy
mv762al,NA - Source for condoms: private doctor
mv762am,Source for condoms: NGO
mv762an,Source for condoms: mobile clinic
mv762ao,Source for condoms: private fieldworke
mv762ap,Source for condoms: other medical private
mv762aq,NA - Source for condoms: CS private
mv762ar,NA - Source for condoms: CS private
mv762as,Source for condoms: shop
mv762at,Source for condoms: bar/night club
mv762au,Source for condoms: kiosk
mv762av,Source for condoms: table holder
mv762aw,Source for condoms: parents/acquaintances/friends
mv762ax,Source for condoms: other
mv762az,Don't know any source for condoms
mv762ba,Source for female condoms: government hospital
mv762bb,Source for female condoms: government health center
mv762bc,Source for female condoms: government health post
mv762bd,Source for female condoms: FP clinic
mv762be,Source for female condoms: community relay
mv762bf,Source for female condoms: other public
mv762bg,NA - Source for female condoms: CS public
mv762bh,NA - Source for female condoms: CS public
mv762bi,NA - Source for female condoms: CS public
mv762bj,Source for female condoms: private hospital/clinic
mv762bk,Source for female condoms: pharmacy
mv762bl,NA - Source for female condoms: private doctor
mv762bm,Source for female condoms: NGO
mv762bn,Source for female condoms: mobile clinic
mv762bo,Source for female condoms: private fieldworker
mv762bp,Source for female condoms: other medical private
mv762bq,NA - Source for female condoms: CS private
mv762br,NA - Source for female condoms: CS private
mv762bs,Source for female condoms: shop
mv762bt,Source for female condoms: bar/night club
mv762bu,Source for female condoms: kiosk
mv762bv,Source for female condoms: table holder
mv762bw,Source for female condoms: parents/acquaintances/friends
mv762bx,Source for female condoms: other
mv762bz,Don't know any source for female condoms
mv763a,Had any STI in last 12 months
mv763b,Had genital sore/ulcer in last 12 months
mv763c,Had genital discharge in last 12 months
mv763d,NA - Had CS STI in last 12 months
mv763e,NA - Had CS STI in last 12 months
mv763f,NA - Had CS STI in last 12 months
mv763g,NA - Had CS STI in last 12 months
mv766a,"Number of sex partners, excluding spouse, in last 12 months"
mv766b,"Number of sex partners, including spouse, in last 12 months"
mv767a,Relationship with most recent sex partner
mv767b,Relationship with 2nd to most recent sex partner
mv767c,Relationship with 3rd to most recent sex partner
mv768a,NA - Length of time had sex relations with most recent partner
mv768b,NA - Length of time had sex relations with 2nd to most recent partner
mv768c,NA - Length of time had sex relations with 3rd to most recent partner
mv769,Can get a condom
mv769a,Can get a female condom
mv770,Sought advice/treatment for last STI infection
mv770a,Sought STI advice/treatment from: government hospital
mv770b,Sought STI advice/treatment from: government health center/post
mv770c,Sought STI advice/treatment from: public stand-alone VCT center
mv770d,Sought STI advice/treatment from: public family planning clinic
mv770e,Sought STI advice/treatment from: public mobile clinic
mv770f,Sought STI advice/treatment from: public field worker
mv770g,Sought STI advice/treatment from: mobile treatment center
mv770h,Sought STI advice/treatment from: other public
mv770i,NA - Sought STI advice/treatment from: CS public
mv770j,NA - Sought STI advice/treatment from: CS public
mv770k,Sought STI advice/treatment from: private hospital/clinic/doctor
mv770l,Sought STI advice/treatment from: VCT mobile
mv770m,Sought STI advice/treatment from: mobile treatment center
mv770n,Sought STI advice/treatment from: young care center
mv770o,Sought STI advice/treatment from: other private medical
mv770p,NA - Sought STI advice/treatment from: CS private
mv770q,NA - Sought STI advice/treatment from: CS private
mv770r,NA - Sought STI advice/treatment from: CS private
mv770s,NA - Sought STI advice/treatment from: CS private
mv770t,NA - Sought STI advice/treatment from: CS other
mv770u,NA - Sought STI advice/treatment from: CS other
mv770v,NA - Sought STI advice/treatment from: CS other
mv770w,NA - Sought STI advice/treatment from: CS other
mv770x,Sought STI advice/treatment from: other
mv774a,HIV transmitted during pregnancy
mv774b,HIV transmitted during delivery
mv774c,HIV transmitted by breastfeeding
mv775,"NA - Knows someone who has, or is suspected of having, HIV"
mv777,Would want HIV infection in family to remain secret
mv778,Willing to care for relative with AIDS
mv779,"A female teacher infected with HIV, but is not sick, should be allowed to continue teaching"
mv780,Children should be taught about condoms to avoid AIDS
mv781,Ever been tested for HIV
mv783,Know a place to get HIV test
mv784a,Place for HIV test: government hospital
mv784b,Place for HIV test: government health center/post
mv784c,Place for HIV test: public stand-alone VCT center
mv784d,Place for HIV test: public family planning clinic
mv784e,Place for HIV test: public mobile clinic
mv784f,Place for HIV test: public field worker
mv784g,Place for HIV test: mobile treatment center
mv784h,Place for HIV test: other public
mv784i,NA - Place for HIV test: CS public
mv784j,NA - Place for HIV test: CS public
mv784k,Place for HIV test: private hospital/clinic/doctor
mv784l,Place for HIV test: VCT mobile
mv784m,Place for HIV test: mobile treatment center
mv784n,Place for HIV test: young care center
mv784o,Place for HIV test: other private medical
mv784p,NA - Place for HIV test: CS private
mv784q,NA - Place for HIV test: CS private
mv784r,NA - Place for HIV test: CS private
mv784s,NA - Place for HIV test: CS other
mv784t,NA - Place for HIV test: CS other
mv784u,NA - Place for HIV test: CS other
mv784v,NA - Place for HIV test: CS other
mv784x,Place for HIV test: other
mv785,Heard about other STIs
mv791,Have ever paid anyone in exchange for sex
mv793,Paid for sex in last 12 months
mv793a,Condom used last time paid for sex in last 12 months
mv793b,Condom used every time paid for sex in last 12 months
mv820,NA - Condom used at first sex
mv822,Wife justified asking husband to use condom if he has STI
mv823,Can get HIV by witchcraft or supernatural means
mv824,Drugs to avoid HIV transmission to baby during pregnancy
mv825,Would buy vegetables from vendor with HIV
mv826,NA - Last time tested for HIV
mv826a,Months ago most recent HIV test
mv827,"NA - Last HIV test: on your own, offered or required"
mv828,Received result from last HIV test
mv829,Place where last HIV test was taken
mv832b,Time since last sex with 2nd to most recent partner
mv832c,Time since last sex with 3rd to most recent partner
mv833a,Used condom every time had sex with most recent partner in last 12 months
mv833b,Used condom every time had sex with 2nd to most recent partner in last 12 months
mv833c,Used condom every time had sex with 3rd to most recent partner in last 12 months
mv834a,Age of most recent partner
mv834b,Age of 2nd to most recent partner
mv834c,Age of 3rd to most recent partner
mv835a,NA - Alcohol consumption at last sex with most recent partner
mv835b,NA - Alcohol consumption at last sex with 2nd to most recent partner
mv835c,NA - Alcohol consumption at last sex with 3rd to most recent partner
mv836,Total lifetime number of sex partners
mv837,NA - Heard of drugs to help HIV infected people live longer
mv844,"NA - Knows someone denied health services for having, or suspected of having, HIV; in last 12 months"
mv845,"NA - Knows someone denied social event for having, or suspected of having, HIV; in last 12 months"
mv846,"NA - Knows someone verbally abused for having, or suspected of having, HIV; in last 12 months"
mv847,NA - People with HIV should be ashamed of themselves
mv848,NA - People with HIV should be blamed for bringing disease to community
mv849,NA - Children 12-14 should be taught to wait for sex until marriage
mv851a,NA - Young men should wait for sex until marriage
mv851b,NA - Most young men wait for sex until marriage
mv851c,NA - Unmarried sexually active men should have only one partner
mv851d,NA - Most unmarried sexually active men have only one partner
mv851e,NA - Married men should only have sex with their wives
mv851f,NA - Most married men only have sex with their wives
mv851g,NA - Young women should wait for sex until marriage
mv851h,NA - Most young women wait for sex until marriage
mv851i,NA - Unmarried sexually active women should have only one partner
mv851j,NA - Most unmarried sexually active women have only one partner
mv851k,NA - Married women should only have sex with their husbands
mv851l,NA - Most married women only have sex with their husbands
mv852a,How long ago first had sex with most recent partner
mv852b,How long ago first had sex with 2nd most recent partner
mv852c,How long ago first had sex with 3rd most recent partner
mv853a,Times in last 12 months had sex with most recent partner
mv853b,Times in last 12 months had sex with 2nd most recent partner
mv853c,Times in last 12 months had sex with 3rd most recent partner
mv854a,Concurrent sexual partners
mv854b,Cumulative concurrent sexual partners
smpool,Pool
smnprovin,New Province
smqlang,Questionnaire language
smlangint,Interview language
sminterp,Interpreter
sm113a,Are you Congolese ?
sm114,Ethnicity
sm809a,Number of cigarettes purchased last time
sm809b,Total spent
sm811a,Use tobacco without smoking
sm811c,Try to stop smoking in the last 12 months
sm811d,Smoking in the workplace in the last 30 days
